t_s,a_x_nm,a_y_nm,a_alt_ft,b_x_nm,b_y_nm,b_alt_ft
0.0,0.0,0.0,30000.0,20.0,0.0,30000.0
1.0,0.1,0.0,30000.0,19.9,1.2246467991473533e-17,30000.0
2.0,0.2,0.0,30000.0,19.799999999999997,2.4492935982947065e-17,30000.0
3.0,0.30000000000000004,0.0,30000.0,19.699999999999996,3.67394039744206e-17,30000.0
4.0,0.4,0.0,30000.0,19.599999999999994,4.898587196589413e-17,30000.0
5.0,0.5,0.0,30000.0,19.499999999999993,6.123233995736766e-17,30000.0
6.0,0.6,0.0,30000.0,19.39999999999999,7.347880794884119e-17,30000.0
7.0,0.7,0.0,30000.0,19.29999999999999,8.572527594031472e-17,30000.0
8.0,0.7999999999999999,0.0,30000.0,19.19999999999999,9.797174393178825e-17,30000.0
9.0,0.8999999999999999,0.0,30000.0,19.099999999999987,1.1021821192326178e-16,30000.0
10.0,0.9999999999999999,0.0,30000.0,18.999999999999986,1.2246467991473532e-16,30000.0
11.0,1.0999999999999999,0.0,30000.0,18.899999999999984,1.3471114790620885e-16,30000.0
12.0,1.2,0.0,30000.0,18.799999999999983,1.4695761589768238e-16,30000.0
13.0,1.3,0.0,30000.0,18.69999999999998,1.592040838891559e-16,30000.0
14.0,1.4000000000000001,0.0,30000.0,18.59999999999998,1.7145055188062944e-16,30000.0
15.0,1.5000000000000002,0.0,30000.0,18.49999999999998,1.8369701987210297e-16,30000.0
16.0,1.6000000000000003,0.0,30000.0,18.399999999999977,1.959434878635765e-16,30000.0
17.0,1.7000000000000004,0.0,30000.0,18.299999999999976,2.0818995585505003e-16,30000.0
18.0,1.8000000000000005,0.0,30000.0,18.199999999999974,2.2043642384652356e-16,30000.0
19.0,1.9000000000000006,0.0,30000.0,18.099999999999973,2.326828918379971e-16,30000.0
20.0,2.0000000000000004,0.0,30000.0,17.99999999999997,2.4492935982947064e-16,30000.0
21.0,2.1000000000000005,0.0,30000.0,17.89999999999997,2.571758278209442e-16,30000.0
22.0,2.2000000000000006,0.0,30000.0,17.79999999999997,2.6942229581241775e-16,30000.0
23.0,2.3000000000000007,0.0,30000.0,17.699999999999967,2.816687638038913e-16,30000.0
24.0,2.400000000000001,0.0,30000.0,17.599999999999966,2.9391523179536486e-16,30000.0
25.0,2.500000000000001,0.0,30000.0,17.499999999999964,3.061616997868384e-16,30000.0
26.0,2.600000000000001,0.0,30000.0,17.399999999999963,3.1840816777831197e-16,30000.0
27.0,2.700000000000001,0.0,30000.0,17.29999999999996,3.306546357697855e-16,30000.0
28.0,2.800000000000001,0.0,30000.0,17.19999999999996,3.429011037612591e-16,30000.0
29.0,2.9000000000000012,0.0,30000.0,17.09999999999996,3.5514757175273263e-16,30000.0
30.0,3.0000000000000013,0.0,30000.0,16.999999999999957,3.673940397442062e-16,30000.0
31.0,3.1000000000000014,0.0,30000.0,16.899999999999956,3.7964050773567974e-16,30000.0
32.0,3.2000000000000015,0.0,30000.0,16.799999999999955,3.918869757271533e-16,30000.0
33.0,3.3000000000000016,0.0,30000.0,16.699999999999953,4.0413344371862685e-16,30000.0
34.0,3.4000000000000017,0.0,30000.0,16.59999999999995,4.163799117101004e-16,30000.0
35.0,3.5000000000000018,0.0,30000.0,16.49999999999995,4.2862637970157396e-16,30000.0
36.0,3.600000000000002,0.0,30000.0,16.39999999999995,4.408728476930475e-16,30000.0
37.0,3.700000000000002,0.0,30000.0,16.299999999999947,4.53119315684521e-16,30000.0
38.0,3.800000000000002,0.0,30000.0,16.199999999999946,4.653657836759946e-16,30000.0
39.0,3.900000000000002,0.0,30000.0,16.099999999999945,4.776122516674681e-16,30000.0
40.0,4.000000000000002,0.0,30000.0,15.999999999999945,4.898587196589417e-16,30000.0
41.0,4.100000000000001,0.0,30000.0,15.899999999999945,5.021051876504152e-16,30000.0
42.0,4.200000000000001,0.0,30000.0,15.799999999999946,5.143516556418888e-16,30000.0
43.0,4.300000000000001,0.0,30000.0,15.699999999999946,5.265981236333623e-16,30000.0
44.0,4.4,0.0,30000.0,15.599999999999946,5.388445916248359e-16,30000.0
45.0,4.5,0.0,30000.0,15.499999999999947,5.510910596163094e-16,30000.0
46.0,4.6,0.0,30000.0,15.399999999999947,5.63337527607783e-16,30000.0
47.0,4.699999999999999,0.0,30000.0,15.299999999999947,5.755839955992566e-16,30000.0
48.0,4.799999999999999,0.0,30000.0,15.199999999999948,5.878304635907301e-16,30000.0
49.0,4.899999999999999,0.0,30000.0,15.099999999999948,6.000769315822037e-16,30000.0
50.0,4.999999999999998,0.0,30000.0,14.999999999999948,6.123233995736772e-16,30000.0
51.0,5.099999999999998,0.0,30000.0,14.899999999999949,6.245698675651508e-16,30000.0
52.0,5.1999999999999975,0.0,30000.0,14.79999999999995,6.368163355566243e-16,30000.0
53.0,5.299999999999997,0.0,30000.0,14.69999999999995,6.490628035480979e-16,30000.0
54.0,5.399999999999997,0.0,30000.0,14.59999999999995,6.613092715395714e-16,30000.0
55.0,5.4999999999999964,0.0,30000.0,14.49999999999995,6.73555739531045e-16,30000.0
56.0,5.599999999999996,0.0,30000.0,14.39999999999995,6.858022075225185e-16,30000.0
57.0,5.699999999999996,0.0,30000.0,14.299999999999951,6.980486755139921e-16,30000.0
58.0,5.799999999999995,0.0,30000.0,14.199999999999951,7.102951435054657e-16,30000.0
59.0,5.899999999999995,0.0,30000.0,14.099999999999952,7.225416114969392e-16,30000.0
60.0,5.999999999999995,0.0,30000.0,13.999999999999952,7.347880794884128e-16,30000.0
61.0,6.099999999999994,0.0,30000.0,13.899999999999952,7.470345474798863e-16,30000.0
62.0,6.199999999999994,0.0,30000.0,13.799999999999953,7.592810154713599e-16,30000.0
63.0,6.299999999999994,0.0,30000.0,13.699999999999953,7.715274834628334e-16,30000.0
64.0,6.399999999999993,0.0,30000.0,13.599999999999953,7.83773951454307e-16,30000.0
65.0,6.499999999999993,0.0,30000.0,13.499999999999954,7.960204194457805e-16,30000.0
66.0,6.5999999999999925,0.0,30000.0,13.399999999999954,8.082668874372541e-16,30000.0
67.0,6.699999999999992,0.0,30000.0,13.299999999999955,8.205133554287276e-16,30000.0
68.0,6.799999999999992,0.0,30000.0,13.199999999999955,8.327598234202012e-16,30000.0
69.0,6.8999999999999915,0.0,30000.0,13.099999999999955,8.450062914116748e-16,30000.0
70.0,6.999999999999991,0.0,30000.0,12.999999999999956,8.572527594031483e-16,30000.0
71.0,7.099999999999991,0.0,30000.0,12.899999999999956,8.694992273946219e-16,30000.0
72.0,7.19999999999999,0.0,30000.0,12.799999999999956,8.817456953860954e-16,30000.0
73.0,7.29999999999999,0.0,30000.0,12.699999999999957,8.939921633775689e-16,30000.0
74.0,7.39999999999999,0.0,30000.0,12.599999999999957,9.062386313690424e-16,30000.0
75.0,7.499999999999989,0.0,30000.0,12.499999999999957,9.18485099360516e-16,30000.0
76.0,7.599999999999989,0.0,30000.0,12.399999999999958,9.307315673519895e-16,30000.0
77.0,7.699999999999989,0.0,30000.0,12.299999999999958,9.42978035343463e-16,30000.0
78.0,7.799999999999988,0.0,30000.0,12.199999999999958,9.552245033349366e-16,30000.0
79.0,7.899999999999988,0.0,30000.0,12.099999999999959,9.674709713264102e-16,30000.0
80.0,7.999999999999988,0.0,30000.0,11.99999999999996,9.797174393178837e-16,30000.0
81.0,8.099999999999987,0.0,30000.0,11.89999999999996,9.919639073093573e-16,30000.0
82.0,8.199999999999987,0.0,30000.0,11.79999999999996,1.0042103753008309e-15,30000.0
83.0,8.299999999999986,0.0,30000.0,11.69999999999996,1.0164568432923044e-15,30000.0
84.0,8.399999999999986,0.0,30000.0,11.59999999999996,1.028703311283778e-15,30000.0
85.0,8.499999999999986,0.0,30000.0,11.499999999999961,1.0409497792752515e-15,30000.0
86.0,8.599999999999985,0.0,30000.0,11.399999999999961,1.053196247266725e-15,30000.0
87.0,8.699999999999985,0.0,30000.0,11.299999999999962,1.0654427152581986e-15,30000.0
