b_extra_offset_nm,conflict,ttc_s
0.0,True,65.0
2.0,True,77.0
4.0,True,91.0
6.0,True,112.0
8.0,False,-1.0
10.0,False,-1.0
12.0,False,-1.0
14.0,False,-1.0
16.0,False,-1.0
18.0,False,-1.0
20.0,False,-1.0
